index,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
195326,16/5/2007,15:26:00,0.634,0.182,236.84,3,0,2,0
195327,16/5/2007,15:27:00,0.64,0.226,236.96,3,0,1,0
195328,16/5/2007,15:28:00,0.698,0.306,237.41,3.4,0,2,0
195329,16/5/2007,15:29:00,0.696,0.3,236.82,3.4,0,2,0
195330,16/5/2007,15:30:00,0.578,0.314,237.19,2.8,0,2,0
195331,16/5/2007,15:31:00,0.508,0.324,237.34,2.4,0,1,0
195332,16/5/2007,15:32:00,0.488,0.322,237.81,2.4,0,2,0
195333,16/5/2007,15:33:00,0.502,0.328,237.79,2.4,0,2,0
195334,16/5/2007,15:34:00,0.482,0.328,238.66,2.4,0,1,0
195335,16/5/2007,15:35:00,0.506,0.33,238.3,2.4,0,2,0
195336,16/5/2007,15:36:00,0.486,0.326,238.2,2.4,0,1,0
195337,16/5/2007,15:37:00,0.5,0.328,238.09,2.4,0,2,0
195338,16/5/2007,15:38:00,0.482,0.326,238.46,2.4,0,1,0
195339,16/5/2007,15:39:00,0.496,0.326,237.78,2.4,0,2,0
195340,16/5/2007,15:40:00,0.474,0.32,237.35,2.4,0,1,0
195341,16/5/2007,15:41:00,0.48,0.304,237.24,2.4,0,2,0
195342,16/5/2007,15:42:00,0.408,0.222,237.64,2,0,1,0
195343,16/5/2007,15:43:00,0.424,0.222,237.36,2,0,2,0
195344,16/5/2007,15:44:00,0.402,0.212,236.05,1.8,0,1,0
195345,16/5/2007,15:45:00,0.38,0.162,237.28,1.8,0,2,0
195346,16/5/2007,15:46:00,0.312,0.092,237.3,1.4,0,1,0
195347,16/5/2007,15:47:00,0.33,0.096,237.42,1.4,0,2,0
195348,16/5/2007,15:48:00,0.31,0.092,237.34,1.4,0,1,0
195349,16/5/2007,15:49:00,0.366,0.084,234.6,1.6,0,2,0
195350,16/5/2007,15:50:00,0.306,0.084,235.14,1.4,0,1,0
195351,16/5/2007,15:51:00,0.314,0.088,235.16,1.4,0,2,0
195352,16/5/2007,15:52:00,0.296,0.084,235.44,1.2,0,1,0
195353,16/5/2007,15:53:00,0.314,0.09,235.41,1.4,0,1,0
195354,16/5/2007,15:54:00,0.226,0,236.07,1,0,0,0
195355,16/5/2007,15:55:00,0.24,0,235.16,1,0,1,0
195356,16/5/2007,15:56:00,0.224,0,236.27,1,0,0,0
195357,16/5/2007,15:57:00,0.282,0,236.84,1.2,0,0,0
